Structure	Affinity_kcal-mol
scfv_73_0_vs_cld3_human_model_model0	 -10.446
scfv_73_0_vs_cld5_human_model_model0	  -9.239
scfv_73_0_vs_cld6_human_model_model0	  -9.440
scfv_73_0_vs_cld7_human_model_model0	 -10.878
scfv_73_0_vs_cld8_human_model_model0	 -11.628
scfv_73_0_vs_cld9_human_model_model0	  -9.185
scfv_73_2_vs_cld10_human_model_model0	  -9.559
scfv_73_2_vs_cld11_human_model_model0	 -12.637
scfv_73_2_vs_cld12_human_model_model0	 -10.037
scfv_73_2_vs_cld14_human_model_model0	 -14.496
scfv_73_2_vs_cld15_human_model_model0	  -9.378
scfv_73_2_vs_cld16_human_model_model0	 -13.038
scfv_73_2_vs_cld17_human_model_model0	 -13.502
scfv_73_2_vs_cld182_human_model_model0	  -9.239
scfv_73_2_vs_cld18_human_model_model0	 -12.745
scfv_73_2_vs_cld19_human_model_model0	 -12.514
scfv_73_2_vs_cld1_human_model_model0	  -9.632
scfv_73_2_vs_cld20_human_model_model0	  -8.839
scfv_73_2_vs_cld22_human_model_model0	 -10.162
scfv_73_2_vs_cld23_human_model_model0	  -8.643
scfv_73_2_vs_cld24_human_model_model0	 -10.085
scfv_73_2_vs_cld25_human_model_model0	 -11.633
scfv_73_2_vs_cld2_human_model_model0	 -11.497
scfv_73_2_vs_cld34_human_model_model0	  -9.083
scfv_73_2_vs_cld3_human_model_model0	  -9.582
scfv_73_2_vs_cld5_human_model_model0	  -9.274
scfv_73_2_vs_cld6_human_model_model0	 -13.101
scfv_73_2_vs_cld7_human_model_model0	 -10.216
scfv_73_2_vs_cld8_human_model_model0	 -11.486
scfv_73_2_vs_cld9_human_model_model0	 -11.803
scfv_73_5_vs_cld10_human_model_model0	 -10.131
scfv_73_5_vs_cld11_human_model_model0	  -8.466
scfv_73_5_vs_cld12_human_model_model0	 -11.284
scfv_73_5_vs_cld14_human_model_model0	  -9.784
scfv_73_5_vs_cld15_human_model_model0	  -9.037
scfv_73_5_vs_cld16_human_model_model0	 -15.235
scfv_73_5_vs_cld17_human_model_model0	  -8.751
scfv_73_5_vs_cld182_human_model_model0	 -11.147
scfv_73_5_vs_cld18_human_model_model0	  -8.251
scfv_73_5_vs_cld19_human_model_model0	 -11.803
scfv_73_5_vs_cld1_human_model_model0	 -12.468
scfv_73_5_vs_cld20_human_model_model0	 -13.978
scfv_73_5_vs_cld22_human_model_model0	  -9.574
scfv_73_5_vs_cld23_human_model_model0	 -10.925
scfv_73_5_vs_cld24_human_model_model0	  -9.243
scfv_73_5_vs_cld25_human_model_model0	 -10.966
scfv_73_5_vs_cld2_human_model_model0	 -10.923
scfv_73_5_vs_cld34_human_model_model0	  -8.378
scfv_73_5_vs_cld3_human_model_model0	 -11.434
scfv_73_5_vs_cld5_human_model_model0	 -11.966
scfv_73_5_vs_cld6_human_model_model0	 -12.181
scfv_73_5_vs_cld7_human_model_model0	 -11.910
scfv_73_5_vs_cld8_human_model_model0	 -13.727
scfv_73_5_vs_cld9_human_model_model0	 -10.241
scfv_73_9_vs_cld10_human_model_model0	 -11.769
scfv_73_9_vs_cld11_human_model_model0	 -10.670
scfv_73_9_vs_cld12_human_model_model0	  -9.618
scfv_73_9_vs_cld14_human_model_model0	 -11.075
scfv_73_9_vs_cld15_human_model_model0	  -9.840
scfv_73_9_vs_cld16_human_model_model0	 -13.772
scfv_73_9_vs_cld17_human_model_model0	 -10.399
scfv_73_9_vs_cld182_human_model_model0	 -10.084
scfv_73_9_vs_cld18_human_model_model0	 -10.610
scfv_73_9_vs_cld19_human_model_model0	 -12.188
scfv_73_9_vs_cld1_human_model_model0	  -9.377
scfv_73_9_vs_cld20_human_model_model0	 -10.640
scfv_73_9_vs_cld22_human_model_model0	 -12.317
scfv_73_9_vs_cld23_human_model_model0	 -13.138
scfv_73_9_vs_cld24_human_model_model0	 -12.108
scfv_73_9_vs_cld25_human_model_model0	 -10.436
scfv_73_9_vs_cld2_human_model_model0	 -11.305
scfv_73_9_vs_cld34_human_model_model0	  -9.813
scfv_73_9_vs_cld3_human_model_model0	  -9.316
scfv_73_9_vs_cld5_human_model_model0	  -8.234
scfv_73_9_vs_cld6_human_model_model0	 -10.637
scfv_73_9_vs_cld7_human_model_model0	 -12.105
scfv_73_9_vs_cld8_human_model_model0	 -12.185
scfv_73_9_vs_cld9_human_model_model0	 -10.039
scfv_77_1_vs_cld10_human_model_model0	  -9.301
scfv_77_1_vs_cld11_human_model_model0	 -11.076
scfv_77_1_vs_cld12_human_model_model0	  -9.435
scfv_77_1_vs_cld14_human_model_model0	 -10.733
scfv_77_1_vs_cld15_human_model_model0	  -9.155
scfv_77_1_vs_cld16_human_model_model0	 -10.335
scfv_77_1_vs_cld17_human_model_model0	 -13.922
scfv_77_1_vs_cld182_human_model_model0	 -12.292
scfv_77_1_vs_cld18_human_model_model0	 -10.562
scfv_77_1_vs_cld19_human_model_model0	 -11.196
scfv_77_1_vs_cld1_human_model_model0	  -8.867
scfv_77_1_vs_cld20_human_model_model0	  -9.306
scfv_77_1_vs_cld22_human_model_model0	  -8.541
scfv_77_1_vs_cld23_human_model_model0	 -10.770
scfv_77_1_vs_cld24_human_model_model0	  -7.886
scfv_77_1_vs_cld25_human_model_model0	  -7.710
scfv_77_1_vs_cld2_human_model_model0	 -12.615
scfv_77_1_vs_cld34_human_model_model0	  -9.571
scfv_77_1_vs_cld3_human_model_model0	 -10.338
scfv_77_1_vs_cld5_human_model_model0	  -9.634
scfv_77_1_vs_cld6_human_model_model0	 -10.853
scfv_77_1_vs_cld7_human_model_model0	  -9.299
scfv_77_1_vs_cld8_human_model_model0	 -11.834
scfv_77_1_vs_cld9_human_model_model0	  -8.568
scfv_77_6_vs_cld10_human_model_model0	 -13.285
scfv_77_6_vs_cld11_human_model_model0	  -8.125
scfv_77_6_vs_cld12_human_model_model0	 -10.255
scfv_77_6_vs_cld14_human_model_model0	  -9.765
scfv_77_6_vs_cld15_human_model_model0	 -11.924
scfv_77_6_vs_cld16_human_model_model0	 -10.306
scfv_77_6_vs_cld17_human_model_model0	 -15.309
scfv_77_6_vs_cld182_human_model_model0	 -11.313
scfv_77_6_vs_cld18_human_model_model0	  -8.894
scfv_77_6_vs_cld19_human_model_model0	 -12.127
scfv_77_6_vs_cld1_human_model_model0	 -11.949
scfv_77_6_vs_cld20_human_model_model0	  -8.095
scfv_77_6_vs_cld22_human_model_model0	  -9.176
scfv_77_6_vs_cld23_human_model_model0	 -10.205
scfv_77_6_vs_cld24_human_model_model0	  -8.685
scfv_77_6_vs_cld25_human_model_model0	  -8.886
scfv_77_6_vs_cld2_human_model_model0	 -10.093
scfv_77_6_vs_cld34_human_model_model0	 -10.898
scfv_77_6_vs_cld3_human_model_model0	 -11.015
scfv_77_6_vs_cld5_human_model_model0	  -8.678
scfv_77_6_vs_cld6_human_model_model0	  -9.386
scfv_77_6_vs_cld7_human_model_model0	 -11.086
scfv_77_6_vs_cld8_human_model_model0	  -8.535
scfv_77_6_vs_cld9_human_model_model0	  -9.654
scfv_7_9_vs_cld10_human_model_model0	 -11.285
scfv_7_9_vs_cld11_human_model_model0	  -9.550
scfv_7_9_vs_cld12_human_model_model0	 -11.388
scfv_7_9_vs_cld14_human_model_model0	 -12.793
scfv_7_9_vs_cld15_human_model_model0	 -11.118
scfv_7_9_vs_cld16_human_model_model0	 -10.471
scfv_7_9_vs_cld17_human_model_model0	 -10.544
scfv_7_9_vs_cld182_human_model_model0	  -9.281
scfv_7_9_vs_cld18_human_model_model0	 -10.578
scfv_7_9_vs_cld19_human_model_model0	  -9.614
scfv_7_9_vs_cld1_human_model_model0	 -10.585
scfv_7_9_vs_cld20_human_model_model0	 -10.053
scfv_7_9_vs_cld22_human_model_model0	 -10.433
scfv_7_9_vs_cld23_human_model_model0	  -8.886
scfv_7_9_vs_cld24_human_model_model0	 -11.103
scfv_7_9_vs_cld25_human_model_model0	 -12.044
scfv_7_9_vs_cld2_human_model_model0	 -10.707
scfv_7_9_vs_cld34_human_model_model0	  -8.909
scfv_7_9_vs_cld3_human_model_model0	  -8.344
scfv_7_9_vs_cld5_human_model_model0	  -9.765
scfv_7_9_vs_cld6_human_model_model0	  -9.775
scfv_7_9_vs_cld7_human_model_model0	 -10.916
scfv_7_9_vs_cld8_human_model_model0	 -11.636
scfv_7_9_vs_cld9_human_model_model0	 -10.633
scfv_83_1_vs_cld10_human_model_model0	 -12.153
scfv_83_1_vs_cld11_human_model_model0	  -8.985
scfv_83_1_vs_cld12_human_model_model0	  -9.987
scfv_83_1_vs_cld14_human_model_model0	  -8.874
scfv_83_1_vs_cld15_human_model_model0	  -7.410
scfv_83_1_vs_cld16_human_model_model0	 -11.690
scfv_83_1_vs_cld17_human_model_model0	 -10.743
scfv_83_1_vs_cld182_human_model_model0	 -11.583
scfv_83_1_vs_cld18_human_model_model0	  -9.597
scfv_83_1_vs_cld19_human_model_model0	  -8.447
scfv_83_1_vs_cld1_human_model_model0	  -6.473
scfv_83_1_vs_cld20_human_model_model0	  -9.602
scfv_83_1_vs_cld22_human_model_model0	 -10.876
scfv_83_1_vs_cld23_human_model_model0	  -8.508
scfv_83_1_vs_cld24_human_model_model0	 -11.038
scfv_83_1_vs_cld25_human_model_model0	  -9.593
scfv_83_1_vs_cld2_human_model_model0	 -11.390
scfv_83_1_vs_cld34_human_model_model0	  -9.091
scfv_83_1_vs_cld3_human_model_model0	  -9.153
scfv_83_1_vs_cld5_human_model_model0	  -9.577
scfv_83_1_vs_cld6_human_model_model0	  -9.464
scfv_83_1_vs_cld7_human_model_model0	  -9.204
scfv_83_1_vs_cld8_human_model_model0	  -9.636
scfv_83_1_vs_cld9_human_model_model0	  -8.525
scfv_83_2_vs_cld10_human_model_model0	 -12.335
scfv_83_2_vs_cld11_human_model_model0	 -11.254
scfv_83_2_vs_cld12_human_model_model0	 -10.868
scfv_83_2_vs_cld14_human_model_model0	 -11.913
scfv_83_2_vs_cld15_human_model_model0	  -8.763
scfv_83_2_vs_cld16_human_model_model0	 -13.136
scfv_83_2_vs_cld17_human_model_model0	 -11.646
scfv_83_2_vs_cld182_human_model_model0	 -10.360
scfv_83_2_vs_cld18_human_model_model0	  -8.187
scfv_83_2_vs_cld19_human_model_model0	 -10.560
scfv_83_2_vs_cld1_human_model_model0	  -8.177
scfv_83_2_vs_cld20_human_model_model0	  -8.009
scfv_83_2_vs_cld22_human_model_model0	 -12.050
scfv_83_2_vs_cld23_human_model_model0	  -9.464
scfv_83_2_vs_cld24_human_model_model0	  -8.788
scfv_83_2_vs_cld25_human_model_model0	 -10.936
scfv_83_2_vs_cld2_human_model_model0	 -10.736
scfv_83_2_vs_cld34_human_model_model0	  -9.201
scfv_83_2_vs_cld3_human_model_model0	  -8.519
scfv_83_2_vs_cld5_human_model_model0	  -9.555
scfv_83_2_vs_cld6_human_model_model0	 -10.180
scfv_83_2_vs_cld7_human_model_model0	  -8.375
scfv_83_2_vs_cld8_human_model_model0	 -10.680
scfv_83_2_vs_cld9_human_model_model0	 -11.984
scfv_85_8_vs_cld10_human_model_model0	 -12.564
scfv_85_8_vs_cld11_human_model_model0	 -11.958
scfv_85_8_vs_cld12_human_model_model0	 -10.476
scfv_85_8_vs_cld14_human_model_model0	  -9.799
scfv_85_8_vs_cld15_human_model_model0	 -12.837
scfv_85_8_vs_cld16_human_model_model0	 -15.983
scfv_85_8_vs_cld17_human_model_model0	  -8.190
scfv_85_8_vs_cld182_human_model_model0	  -8.003
scfv_85_8_vs_cld18_human_model_model0	  -7.660
scfv_85_8_vs_cld19_human_model_model0	 -13.587
scfv_85_8_vs_cld1_human_model_model0	 -11.117
scfv_85_8_vs_cld20_human_model_model0	 -10.255
scfv_85_8_vs_cld22_human_model_model0	 -14.495
scfv_85_8_vs_cld23_human_model_model0	  -7.798
scfv_85_8_vs_cld24_human_model_model0	 -13.901
scfv_85_8_vs_cld25_human_model_model0	 -13.923
scfv_85_8_vs_cld2_human_model_model0	 -12.970
scfv_85_8_vs_cld34_human_model_model0	  -8.383
scfv_85_8_vs_cld3_human_model_model0	  -9.238
scfv_85_8_vs_cld5_human_model_model0	 -10.819
scfv_85_8_vs_cld6_human_model_model0	  -7.806
scfv_85_8_vs_cld7_human_model_model0	 -11.186
scfv_85_8_vs_cld8_human_model_model0	 -12.006
scfv_85_8_vs_cld9_human_model_model0	  -8.985
scfv_86_0_vs_cld10_human_model_model0	 -13.060
scfv_86_0_vs_cld11_human_model_model0	 -10.447
scfv_86_0_vs_cld12_human_model_model0	  -8.540
scfv_86_0_vs_cld14_human_model_model0	 -11.448
scfv_86_0_vs_cld15_human_model_model0	  -9.423
scfv_86_0_vs_cld16_human_model_model0	 -10.772
scfv_86_0_vs_cld17_human_model_model0	 -11.541
scfv_86_0_vs_cld182_human_model_model0	  -7.884
scfv_86_0_vs_cld18_human_model_model0	  -8.816
scfv_86_0_vs_cld19_human_model_model0	 -12.349
scfv_86_0_vs_cld1_human_model_model0	 -12.132
scfv_86_0_vs_cld20_human_model_model0	 -10.295
scfv_86_0_vs_cld22_human_model_model0	 -11.028
scfv_86_0_vs_cld23_human_model_model0	 -10.360
scfv_86_0_vs_cld24_human_model_model0	 -10.686
scfv_86_0_vs_cld25_human_model_model0	 -11.127
scfv_86_0_vs_cld2_human_model_model0	  -9.577
scfv_86_0_vs_cld34_human_model_model0	  -8.618
scfv_86_0_vs_cld3_human_model_model0	 -13.200
scfv_86_0_vs_cld5_human_model_model0	 -11.699
scfv_86_0_vs_cld6_human_model_model0	 -12.196
scfv_86_0_vs_cld7_human_model_model0	 -11.387
scfv_86_0_vs_cld8_human_model_model0	 -10.185
scfv_86_0_vs_cld9_human_model_model0	 -12.187
scfv_86_1_vs_cld10_human_model_model0	 -11.863
scfv_86_1_vs_cld11_human_model_model0	  -9.415
scfv_86_1_vs_cld12_human_model_model0	 -11.404
scfv_86_1_vs_cld14_human_model_model0	 -10.718
scfv_86_1_vs_cld15_human_model_model0	 -10.717
scfv_86_1_vs_cld16_human_model_model0	 -11.665
scfv_86_1_vs_cld17_human_model_model0	 -10.279
scfv_86_1_vs_cld182_human_model_model0	  -8.353
scfv_86_1_vs_cld18_human_model_model0	  -8.006
scfv_86_1_vs_cld19_human_model_model0	  -9.288
scfv_86_1_vs_cld1_human_model_model0	  -9.883
scfv_86_1_vs_cld20_human_model_model0	 -10.950
scfv_86_1_vs_cld22_human_model_model0	 -12.542
scfv_86_1_vs_cld23_human_model_model0	  -9.650
scfv_86_1_vs_cld24_human_model_model0	 -11.901
scfv_86_1_vs_cld25_human_model_model0	 -12.914
scfv_86_1_vs_cld2_human_model_model0	  -9.741
scfv_86_1_vs_cld34_human_model_model0	 -11.482
scfv_86_1_vs_cld3_human_model_model0	  -9.842
scfv_86_1_vs_cld5_human_model_model0	 -12.170
scfv_86_1_vs_cld6_human_model_model0	 -10.242
scfv_86_1_vs_cld7_human_model_model0	 -12.186
scfv_86_1_vs_cld8_human_model_model0	 -12.007
scfv_86_1_vs_cld9_human_model_model0	 -10.216
scfv_86_2_vs_cld10_human_model_model0	  -9.743
scfv_86_2_vs_cld11_human_model_model0	 -10.425
scfv_86_2_vs_cld12_human_model_model0	 -11.269
scfv_86_2_vs_cld14_human_model_model0	 -12.258
scfv_86_2_vs_cld15_human_model_model0	 -11.115
scfv_86_2_vs_cld16_human_model_model0	 -12.892
scfv_86_2_vs_cld17_human_model_model0	  -8.187
scfv_86_2_vs_cld182_human_model_model0	 -12.267
scfv_86_2_vs_cld18_human_model_model0	 -12.159
scfv_86_2_vs_cld19_human_model_model0	 -11.889
scfv_86_2_vs_cld1_human_model_model0	 -12.550
scfv_86_2_vs_cld20_human_model_model0	  -8.841
scfv_86_2_vs_cld22_human_model_model0	 -13.270
scfv_86_2_vs_cld23_human_model_model0	  -8.054
scfv_86_2_vs_cld24_human_model_model0	 -12.482
scfv_86_2_vs_cld25_human_model_model0	 -14.298
scfv_86_2_vs_cld2_human_model_model0	 -11.696
scfv_86_2_vs_cld34_human_model_model0	  -8.243
scfv_86_2_vs_cld3_human_model_model0	  -7.410
scfv_86_2_vs_cld5_human_model_model0	  -7.992
scfv_86_2_vs_cld6_human_model_model0	  -8.980
scfv_86_2_vs_cld7_human_model_model0	  -9.174
scfv_86_2_vs_cld8_human_model_model0	  -8.614
scfv_86_2_vs_cld9_human_model_model0	 -10.017
scfv_86_5_vs_cld10_human_model_model0	 -12.157
scfv_86_5_vs_cld11_human_model_model0	  -9.986
scfv_86_5_vs_cld12_human_model_model0	 -10.385
scfv_86_5_vs_cld14_human_model_model0	  -9.939
scfv_86_5_vs_cld15_human_model_model0	 -10.420
scfv_86_5_vs_cld16_human_model_model0	 -14.791
scfv_86_5_vs_cld17_human_model_model0	  -9.758
scfv_86_5_vs_cld182_human_model_model0	 -11.905
scfv_86_5_vs_cld18_human_model_model0	 -12.280
scfv_86_5_vs_cld19_human_model_model0	 -12.519
scfv_86_5_vs_cld1_human_model_model0	 -12.951
scfv_86_5_vs_cld20_human_model_model0	  -8.749
scfv_86_5_vs_cld22_human_model_model0	 -11.173
scfv_86_5_vs_cld23_human_model_model0	 -11.066
scfv_86_5_vs_cld24_human_model_model0	 -10.940
scfv_86_5_vs_cld25_human_model_model0	 -10.455
scfv_86_5_vs_cld2_human_model_model0	 -10.864
scfv_86_5_vs_cld34_human_model_model0	  -8.491
scfv_86_5_vs_cld3_human_model_model0	 -10.408
scfv_86_5_vs_cld5_human_model_model0	  -9.762
scfv_86_5_vs_cld6_human_model_model0	 -13.578
scfv_86_5_vs_cld7_human_model_model0	 -10.712
scfv_86_5_vs_cld8_human_model_model0	 -12.079
scfv_86_5_vs_cld9_human_model_model0	 -12.004
scfv_86_8_vs_cld10_human_model_model0	  -9.559
scfv_86_8_vs_cld11_human_model_model0	  -9.700
scfv_86_8_vs_cld12_human_model_model0	 -11.076
scfv_86_8_vs_cld14_human_model_model0	 -10.676
scfv_86_8_vs_cld15_human_model_model0	 -13.368
scfv_86_8_vs_cld16_human_model_model0	 -12.695
scfv_86_8_vs_cld17_human_model_model0	 -10.933
scfv_86_8_vs_cld182_human_model_model0	 -12.748
scfv_86_8_vs_cld18_human_model_model0	 -11.136
scfv_86_8_vs_cld19_human_model_model0	  -9.012
scfv_86_8_vs_cld1_human_model_model0	 -10.361
scfv_86_8_vs_cld20_human_model_model0	 -10.767
scfv_86_8_vs_cld22_human_model_model0	 -13.275
scfv_86_8_vs_cld23_human_model_model0	  -9.533
scfv_86_8_vs_cld24_human_model_model0	 -12.710
scfv_86_8_vs_cld25_human_model_model0	 -10.758
scfv_86_8_vs_cld2_human_model_model0	 -12.383
scfv_86_8_vs_cld34_human_model_model0	  -8.743
scfv_86_8_vs_cld3_human_model_model0	  -8.883
scfv_86_8_vs_cld5_human_model_model0	 -10.342
scfv_86_8_vs_cld6_human_model_model0	 -10.100
scfv_86_8_vs_cld7_human_model_model0	  -7.219
scfv_86_8_vs_cld8_human_model_model0	 -12.501
scfv_86_8_vs_cld9_human_model_model0	  -8.909
scfv_88_1_vs_cld10_human_model_model0	 -10.490
scfv_88_1_vs_cld11_human_model_model0	  -9.978
scfv_88_1_vs_cld12_human_model_model0	 -13.061
scfv_88_1_vs_cld14_human_model_model0	 -12.406
scfv_88_1_vs_cld15_human_model_model0	  -9.552
scfv_88_1_vs_cld16_human_model_model0	 -15.633
scfv_88_1_vs_cld17_human_model_model0	 -11.181
scfv_88_1_vs_cld182_human_model_model0	  -9.668
scfv_88_1_vs_cld18_human_model_model0	  -8.417
scfv_88_1_vs_cld19_human_model_model0	 -11.653
scfv_88_1_vs_cld1_human_model_model0	 -12.147
scfv_88_1_vs_cld20_human_model_model0	 -10.861
scfv_88_1_vs_cld22_human_model_model0	  -8.917
scfv_88_1_vs_cld23_human_model_model0	 -11.090
scfv_88_1_vs_cld24_human_model_model0	  -9.261
scfv_88_1_vs_cld25_human_model_model0	 -10.536
scfv_88_1_vs_cld2_human_model_model0	 -11.064
scfv_88_1_vs_cld34_human_model_model0	 -11.250
scfv_88_1_vs_cld3_human_model_model0	 -10.444
scfv_88_1_vs_cld5_human_model_model0	 -11.941
scfv_88_1_vs_cld6_human_model_model0	 -11.959
scfv_88_1_vs_cld7_human_model_model0	 -11.643
scfv_88_1_vs_cld8_human_model_model0	  -8.684
scfv_88_1_vs_cld9_human_model_model0	 -10.147
scfv_93_7_vs_cld10_human_model_model0	  -9.438
scfv_93_7_vs_cld11_human_model_model0	  -9.405
scfv_93_7_vs_cld12_human_model_model0	 -10.998
scfv_93_7_vs_cld14_human_model_model0	  -9.377
scfv_93_7_vs_cld15_human_model_model0	  -9.909
scfv_93_7_vs_cld16_human_model_model0	 -11.360
scfv_93_7_vs_cld17_human_model_model0	 -12.838
scfv_93_7_vs_cld182_human_model_model0	  -9.239
scfv_93_7_vs_cld18_human_model_model0	 -10.636
scfv_93_7_vs_cld19_human_model_model0	 -12.237
scfv_93_7_vs_cld1_human_model_model0	 -10.084
scfv_93_7_vs_cld20_human_model_model0	  -9.786
scfv_93_7_vs_cld22_human_model_model0	 -13.379
scfv_93_7_vs_cld23_human_model_model0	 -10.506
scfv_93_7_vs_cld24_human_model_model0	 -13.195
scfv_93_7_vs_cld25_human_model_model0	 -11.919
scfv_93_7_vs_cld2_human_model_model0	 -12.957
scfv_93_7_vs_cld34_human_model_model0	 -11.782
scfv_93_7_vs_cld3_human_model_model0	 -10.219
scfv_93_7_vs_cld5_human_model_model0	  -8.671
scfv_93_7_vs_cld6_human_model_model0	 -12.246
scfv_93_7_vs_cld7_human_model_model0	 -12.305
scfv_93_7_vs_cld8_human_model_model0	 -14.473
scfv_93_7_vs_cld9_human_model_model0	 -12.324
scfv_94_1_vs_cld10_human_model_model0	 -10.972
scfv_94_1_vs_cld11_human_model_model0	 -10.750
scfv_94_1_vs_cld12_human_model_model0	  -9.972
scfv_94_1_vs_cld14_human_model_model0	  -9.729
scfv_94_1_vs_cld15_human_model_model0	 -10.414
scfv_94_1_vs_cld16_human_model_model0	 -13.239
scfv_94_1_vs_cld17_human_model_model0	  -9.357
scfv_94_1_vs_cld182_human_model_model0	 -13.010
scfv_94_1_vs_cld18_human_model_model0	 -11.096
scfv_94_1_vs_cld19_human_model_model0	 -11.024
scfv_94_1_vs_cld1_human_model_model0	 -10.865
scfv_94_1_vs_cld20_human_model_model0	 -10.565
scfv_94_1_vs_cld22_human_model_model0	 -10.524
scfv_94_1_vs_cld23_human_model_model0	  -9.205
scfv_94_1_vs_cld24_human_model_model0	  -9.679
scfv_94_1_vs_cld25_human_model_model0	 -11.353
scfv_94_1_vs_cld2_human_model_model0	  -9.663
scfv_94_1_vs_cld34_human_model_model0	 -10.121
scfv_94_1_vs_cld3_human_model_model0	  -8.814
scfv_94_1_vs_cld5_human_model_model0	  -9.144
scfv_94_1_vs_cld6_human_model_model0	  -9.206
scfv_94_1_vs_cld7_human_model_model0	 -10.075
scfv_94_1_vs_cld8_human_model_model0	 -11.456
scfv_94_1_vs_cld9_human_model_model0	  -9.350
scfv_94_7_vs_cld10_human_model_model0	 -10.467
scfv_94_7_vs_cld11_human_model_model0	  -7.417
scfv_94_7_vs_cld12_human_model_model0	 -11.298
scfv_94_7_vs_cld14_human_model_model0	 -12.184
scfv_94_7_vs_cld15_human_model_model0	 -10.837
scfv_94_7_vs_cld16_human_model_model0	 -13.922
scfv_94_7_vs_cld17_human_model_model0	 -10.171
scfv_94_7_vs_cld182_human_model_model0	  -9.414
scfv_94_7_vs_cld18_human_model_model0	 -10.903
scfv_94_7_vs_cld19_human_model_model0	 -11.481
scfv_94_7_vs_cld1_human_model_model0	 -10.058
scfv_94_7_vs_cld20_human_model_model0	  -9.625
scfv_94_7_vs_cld22_human_model_model0	 -10.797
scfv_94_7_vs_cld23_human_model_model0	  -8.574
scfv_94_7_vs_cld24_human_model_model0	 -10.605
scfv_94_7_vs_cld25_human_model_model0	 -12.064
scfv_94_7_vs_cld2_human_model_model0	 -10.479
scfv_94_7_vs_cld34_human_model_model0	  -9.451
scfv_94_7_vs_cld3_human_model_model0	  -9.709
scfv_94_7_vs_cld5_human_model_model0	  -8.434
scfv_94_7_vs_cld6_human_model_model0	  -9.388
scfv_94_7_vs_cld7_human_model_model0	 -10.114
scfv_94_7_vs_cld8_human_model_model0	 -10.403
scfv_94_7_vs_cld9_human_model_model0	 -10.702
